,product_id,name,product_sub_category_id,id
122,107996, Максиколд Рино Апельсин пор.д/приг.р-ра д/приема внутрь пак.г №,703,2739096 677 162
123,139676, Аскофен-П таб.№,397,2469958 2052 90
124,158549, PL Шприц одноразовый инсулиновый мл №,763,2424302 1963 176
125,155555, Фудо Йод батончик функциональный г,571,2737064 2026 128
126,155560, Фудо Железо батончик функциональный г,571,2737064 2026 128
127,129205, Ямми Карамель леденцовая с витамином С Клубника г,567,2708041 823 128
128,125017, ТераФлю от гриппа и простуды Экстра пор.д/приг.р-ра д/приема внутрь Лимон №,703,2737376 2118 162
129,23289, ТераФлю от гриппа и простуды пор.д/приг.р-ра д/приема внутрь Лесные Ягоды №,703,2740520 677 162
130,44867, Жанин др № х ,450,2737636 527 105
131,106732," Соска пустышка латексная ""Ягодка"" N",804,2199133 1440 181
132,349737, PL Бинт марл мед н/стер м х см уп №,671,2736594 257 154
133,70175, Ярина Плюс табл. п.п.о №*,450,2739670 1962 105
134,137039," Парацетамол таб.,г №",696,2526620 527 162
135,149076, Максиколд Рино Лимон пор.д/приг.р-ра д/приема внутрь пак.г №,703,2736885 1099 162
136,129946, Ямми Кисель Черника с витаминами г,569,2406932 533 128
137,23345, PL Рыбий жир Микс вкусов для детей капс.№,423,2519508 883 101
138,60902," Лейкопластырь Унипласт бактерицидный влагостойкий , х ,см N",670,2490142 257 154
139,162824, PL Перчатки латексные нестерильные неопудренные р.M  пар,675,2740562 1976 155
140,66533, Микстура от кашля для взрослых сухая пор д/оралн р-ра .г пак N,700,2738643 1251 162
141,22470, PL вода питьевая негазированная мл,569,2741352 552 128
142,106910, Нафтизин р-р .% тюб.-кап мл №,701,2643247 105 162
143,37982, НоваРинг Кольцо вагинальное №,450,2730884 2089 105
144,134273, Доксициклин капс мг N,403,982123 134 92
145,129521, Феррогематоген плитка г уп N,433,2466917 965 101
146,115228," Диоксидин р-р д/и ,% амп мл N",706,2532388 533 163
147,137031, Индол Форте капс.  мг №,424,1977403 2026 101
148,153992, Найз гран.для приг.сусп.д/приема внутрь мг пак.№,647,2329623 677 148
149,142307, Кетанов р-р д/и мг амп мл N,397,2741638 2117 90
150,153754," Цефтриаксон пор.д/р-ра в/в, в/м фл. г",403,2716348 883 92
151,113441, Натрия хлорид .% р-р д/инфуз фл мл №,720,2589296 299 166
152,150047, Йода р-р спирт % фл мл N,404,2739109 1196 93
153,117000, Борная кислота р-р спирт % фл мл N,404,2740506 1196 93
154,77662, PL Маска медицинская №,711,2434688 1975 165
155,124061, Маалокс сусп.д/приема внутрь пак.мл №,595,2740577 1196 135
156,83462, Аскорбиновая кислота с глюкозой тб мг N,429,2737735 659 101
157,358488, Фанни Банни Помада гигиеническая от ветра и непогоды д/детей  г,770,2337501 124 177
158,66485," Тизин Эксперт/Ксило Био спрей наз.доз.фл.с доз.,% мл №",701,2036642 965 162
159,72448, Сенаде тб .мг N,598,2740485 527 135
160,233213," Ангидак спрей д/местного прим.,мг/доза  доз фл.мл",699,2036642 965 162
161,349770, PL Бинт марл мед стер ГОСТ м х см уп №,671,2466687 2027 154
162,138116, Нью Лайф Бинт марл мед н/стер м х см инд.уп/СТМ,671,2736288 2119 154
163,349828, PL Бинт марл мед стер м х см уп №,671,2466687 2027 154
164,112025, Метилурациловая мазь % г N,706,2636973 887 163
165,147802, Дицинон таб.мг №,420,2399750 159 99
166,110310, Элевит пронаталь таб.п.п.о.№,431,2555575 539 101
167,122170, Пластырь перцовый см х см уп N,648,1237357 876 148
168,64351, Изопринозин тб мг N,581,2676351 454 130
169,24719, Лазолван Рино спрей назальный мл,701,2663425 66 162
170,355605," Нолипрел А таб.п.п.о.,мг+,мг №",738,2699564 299 170
171,39652, Ригевидон табл. п.о. №,450,2409919 539 105
172,61946,nan,674,2738808 2151 154
173,69792, Новинет табл. п.п.о. №,450,2409919 539 105
174,38965, размер  х  см № ,674,1956983 127 154
175,32837, Силденафил-СЗ таб.п.п.о. мг №,683,2448894 535 159
176,223540, Супрастин таб.мг №,395,1987441 544 89
177,156227, АЦЦ пор.д/р-ра для приема внутрь мг пак.г № Апельсин,700,2713389 544 162
178,62182, Ацикловир-Акрихин тб мг N,705,2736674 2119 162
179,91482, Эвиталия Комплекс сухих микроорганизмов пробиотиков лиоф. мг фл. №,600,2409919 539 135
180,51228, PL Аскорбинка с сахаром таб. №,429,2501020 527 101
181,141161, Мастер Юни Пластырь перцовый хсм,648,2740168 1654 148
182,53779, Аквадетрим вит Д р-р водный МЕ/мл фл  мл №,439,2740763 1273 101
183,38978,nan,404,2629526 1976 93
184,163329," Ринонорм-Тева спрей наз.,% фл.мл. с доз.-распыл.",701,2486233 1066 162
185,108850, Валериана [настойка фл мл] N,613,2740168 1654 140
186,77817, Химотрипсин пор мг фл N,467,2409919 539 110
187,53250, Лейкопластырь бактерицидный .см х .см уп N,670,2118267 1841 154
188,99218, Тетрациклина гидрохлорид тб п/о мг N,628,2618817 539 144
189,72600, Хилак форте капли д/приема внутрь фл.-кап.мл №+/Промо,595,2541034 533 135
190,46797, Троксевазин гель % туба г N,718,1171188 880 166
191,356666, Аторвастатин таб.п.п.о.мг №,685,2410086 454 160
192,92189, Мята перечная н-ка фл мл N,617,2689398 962 140
193,60207, Мочеприемник детский мл стер. N,757,2739237 105 175
194,140548, Бисакодил Хемофарм табл. п.о.  мг. №,598,1958564 111 135
195,102316, Флуконазол капс  мг. №,622,2505817 117 142
196,47059, Стрептоцид пор г пак N,403,2249756 1737 92
197,155974,nan,414,2462637 1066 97
198,97124,nan,674,2741038 2118 154
199,141536," Преднизол р-р в/в, в/м мг/мл амп. мл №",459,2741200 454 108
200,136804,nan,674,2741038 2118 154
201,50783," Бинт эласт ""Peha-haft"" когезивный см х м",671,2730240 880 154
202,91191, Солкосерил гель % туба  гр.,583,2736961 1251 130
203,57328, Мукалтин тб мг N,700,2472358 94 162
204,87372, уп N,714,2739931 1651 166
205,65376," Донат Магний Вода минеральная ,л бут №",569,1189087 105 128
206,49527," Вигантол р-р масл ,мг/мл фл-капел мл N",644,2300290 1440 148
207,116428, Немулекс гран.д/сусп.д/приема внутрь мг г № пак.,647,2700066 539 148
208,97879, Фталазол тб мг N,706,2260864 674 163
209,43404, Крем Детский легкий увлажняющий мл,772,2516368 884 177
210,21312, Салициловая кислота р-р спирт % фл мл N,404,2737339 2118 93
211,69142, PL Пипетка глазная травмобезопасная стеклянная №,711,2492776 454 165
212,23818, Юнификс Пластырь фиксирующий на тканевой основе хсм,670,2712907 1654 154
213,78827, Регулон табл. п.п.о. №,450,2431551 554 105
214,52368, Бальзам Золотая звезда мазь д/наружн.прим.г №,718,2738153 1099 166
215,95340, Шприц одноразовый SF Medical -комп.мл №/СТМ,762,2520963 159 176
216,66873, Анальгин таб.мг №,397,2546211 2054 90
217,61918, Кармолис леденцы без сахара г уп №,699,1608694 1517 162
218,81547, Кеторолак таб. п.о. мг №,-1,1554224 1493 -1
219,132972, Касторовое масло фл г N,598,2739641 1494 135
220,39561, Актовегин р-р д/ин.  мг/мл. амп.  мл. №,639,1273762 1468 146
221,125415, Нью Лайф Салфетка марл мед стер двухслойн см х см №/СТМ,671,1280294 1524 154
222,38945, Офломелид мазь наружн.туба г,467,1280294 1524 110
223,162872, PL Перчатки нитриловые нестерильные неопудренные р.S  пар цветные,675,1788229 1519 155
224,104261, Нормофлорин-D фл мл,600,1758099 1501 135
225,154062, PL Вода питьевая негазированная мл,569,1758099 1501 128
226,51262, Спазган таб.№ блистер,397,2740903 1453 90
227,147910, Хумалог р-р д/ин картридж МЕ/мл мл №,461,1776153 1494 108
228,339027, PL Гематоген с кокосом г,433,1449765 1495 101
229,119378, Трилакт фл мл,600,2739802 1508 135
230,162869, PL Перчатки латексные нестерильные неопудренные р.L  пар,675,1788229 1519 155
231,97275, Шприцы одноразовые с иглой мл уп N,762,2629702 1470 176
232,349911, PL Бинт марл мед н/стер ГОСТ м х см уп №,671,1326316 1453 154
233,104256," Тизин Классик/Ксило спрей наз. ,% фл. мл",701,1598895 1504 162
234,40259, Галазолин капли .% мл N,701,1642150 1471 162
235,34278, Тетрациклиновая  мазь глазн ЕД/г туба г N,575,1681127 1505 129
236,76190, Дексаметазон р-р д/ин.  мг/мл. амп.  мл. №,459,1452464 1488 108
237,132095," Коэнзим композитум ,мл амп №",456,1707536 1495 107
238,56913, Пектусин таб.д/рассас.№,701,2739823 1918 162
239,127223, Натрия хлорид .% р-р д/инфуз фл мл N,-1,1408616 1476 -1
240,72091, Минеральная вода Билинска Киселка л,569,2719319 1740 128
241,39810, Тантум Роза р-р вагинальный .% фл.-спринц.мл с канюлей №,648,1356854 1505 148
242,145164, Карипазим  пе фл №,583,1524676 1524 130
243,121193, Ямми Мармелад Микс г,566,1662866 1479 128
244,34507," Цель Т р-р д/и амп ,мл №",456,1837056 1507 107
245,79724, Левомеколь мазь г N,706,1775325 1492 163
246,84757, Лоперамид таб.мг №,595,1325988 1489 135
247,139647, Ямми Карамель леденцовая с витамином С Малина-Ежевика г,567,1609189 1519 128
248,93951," Презерватив ""Viva"" для узи №",693,2626580 2082 161
249,152191, Бифидум БАГ доз фл.мл №,600,1390475 1742 135
250,118826, Ямми Карамель леденцовая с витамином С Дюшес г,567,1419227 1503 128
251,125232, Норваск таб.мг №,738,1325148 1480 170
252,142343," Цефтриаксон пор.д/р-ра в/в, в/м фл./пачка г №",403,1510297 1490 92
253,120312, Нутридринк смесь д/энтер.питания Клубника мл,666,2737209 1500 153
254,55919, Повязка Branolind N стерильная мазевая .см х см N арт.,674,1305338 1471 154
255,146135, Ромашка [цветки фильтр-пакеты .г] N КЛС,617,2741078 1494 140
256,74585, Валидол таб.подъяз.мг №,738,1710747 1492 170
257,88371, Беталок ЗОК таб.п.о.замедл.высв.мг № блистер,738,1772477 1463 170
258,66842, Кэа Хэлс Ромашка [цветки фильтр-пакеты г] N,615,1300018 1521 140
259,60270, Монурал гран.д/приг.р-ра.д/приема внутрь г саше №,403,2737209 1500 92
260,25209, Панкреатин табл. п.о.кш.раств. №,601,1714446 1476 135
261,122677, Роаккутан капс мг N,467,2698089 1504 110
262,85662, Феварин таб. п.о.мг №,635,1376453 1495 146
263,168318, Самсон&Далила Гематоген Русский г с кедровым орехом,433,1629934 1474 101
264,102109, Микстура от кашля для взрослых сухая пор д/оралн р-ра .г пак N,-1,1512153 1513 -1
265,41184, Ацетилсалициловая кислота таб.мг №,696,1714446 1476 162
266,139733, Натрия хлорид .% р-р д/инфуз фл мл N,720,1408402 1455 166
267,155551, Бисопролол-Тева таб. мг №,738,1498554 1530 170
268,74728, Аевит капс N,425,2739337 1508 101
269,121499, Ингавирин капс.мг №,705,1534671 1477 162
270,192023, Самсон&Далила Гематоген Русский г детский,433,1944705 1500 101
271,92609, Йода р-р спирт % фл мл N с крышкой-помазком Renewal,404,1334355 1519 93
272,137698, Аскорутин таб.№,429,1534671 1477 101
273,164647, PL АЕвитамин капс.№,438,1719026 1515 101
274,53552, Левомицетин тб мг N,403,1342911 1468 92
275,165142, Витатека Пластырь перцовый перфорированный хсм №,648,1638728 1470 148
276,154646, Натрия хлорид .% р-р д/инфуз бут мл №,720,2733138 1474 166
277,77297," Клексан р-р д/инъекций мг ,мл шпр. №",738,1655268 1471 170
278,35700, Фенибут тб .г N,638,1317833 1480 146
279,51650," Лейкопластырь мозольный ""Салипод"" см хсм",670,1888029 1479 154
280,59916, Римантадин таб.мг №,705,1413082 1488 162
281,109580, Пустырник настойка фл.мл,613,1256327 1505 140
282,68418," PL Рыбий жир с витаминами А, Д, Е капс. №",439,1305325 1503 101
283,133224," Мукоза Композитум р-р для в/м и п/к введ.гомеоп.,мл амп.№",-1,1748606 1470 -1
284,162919, PL Перчатки нитриловые нестерильные неопудренные р.M  пар цветные,675,2736186 1479 155
285,149587, Камфорный спирт р-р % фл мл,648,1556791 1455 148
286,124843, Микстура от кашля для взрослых сухая пор д/оралн р-ра .г пак N,700,1737815 1455 162
287,155970, Фамвиталь капс.№,427,1332419 1455 101
288,141398, Валериана [настойка фл мл] N,613,1256327 1505 140
289,140255," Салфетки ""Soft-Zellin"" спиртовые для инъекций мм х мм №",404,1876359 1455 93
290,147953," Система трансфуз д/переливания крови, кровезам, инфуз р-ров уп N",761,1926071 1492 176
291,65610, Липоевая кислота тб п/о  мг. №,596,1926071 1492 135
292,47273, Глиатилин капс мг N,638,1446512 1468 146
293,53775, Гордокс р-р д/ин.  КИЕ/ мл. амп.  мл. №,420,2709648 1506 99
294,143405," Цефтриаксон пор д/приг. р-ра д/в/в, в/м введ г фл N",403,2709648 1506 92
295,44428, Валериана [экстракт тб п/об мг] N,-1,1471804 1480 -1
296,115324," Валидол табл. сублингв. , гр. №",-1,1864246 1511 -1
297,101838, Салициловая мазь % г N,467,2408306 1496 110
298,134076, Бификол сухой пор  дз N,595,1535933 1515 135
299,100369, Мукалтин тб мг N,700,1764992 1489 162
300,112405, Эмла крем д/местного и наружн.прим.% туба г №,399,2537028 1492 90
301,153295, Диклофенак гель д/наружн.прим.% г,648,1862697 1476 148
302,102005, PL Сироп шиповника фл.мл,581,2736199 1895 130
303,77593, Аркоксиа табл. п.п.о.мг №,647,1336846 1511 148
304,69616, Ямми Карамель леденцовая с витамином С Лимон-Мята г,567,1910329 1474 128
305,167295, Тримедат форте таб.пролонг.п.п.о.мг №,595,1927424 1480 135
306,160890, Натрия Хлорид .% р-р д/инфуз фл мл №,720,1299976 1486 166
307,74792," Бонвива , гр. №",644,2741391 1468 148
308,154842, Повязка Branolind стерильная мазевая см х см №,674,1737835 1455 154
309,39550, Напальчник медицинский №,675,1737835 1455 155
310,350917, PL Алоэ Вера гель питьевой с соком Черники г,565,2726830 1453 128
311,112558, Бициллин- пор д/и ЕД фл N,403,1755068 1480 92
312,102662, Биовестин-лакто раствор мл №,600,1542065 1471 135
313,136568, Оксолиновая мазь .% г N,705,2715205 1468 162
314,100882," PL Пластырь бактерицидный влагостойкий воздухопроницаемый ,х,см №",670,2634461 1490 154
315,70403, Шприц Бектон Дикинсон одноразовый с иглой -комп.мл уп N,762,1876095 1504 176
316,123304, Дипроспан сусп.д/и амп мл N,459,1423774 1488 108
317,109932, PL Вода питьевая негазированная спортивная мл,569,2740552 1523 128
318,35385, Неосмектин пор. д/сусп. пак.  гр. №,595,1531611 1479 135
319,73524, Мексидол р-р д/в/в и в/м введ. мг/мл амп. мл №,634,1341359 1495 146
320,57602, Нафтизин плюс капли назальные .% мл N,701,1655555 1469 162
321,28771, Сульфокамфокаин р-р д/и % амп мл N,738,2741363 1470 170
322,152646," Минеральная вода Винцентка ,л",569,1733631 1493 128
323,73455, PL Валериана+хмель+мята драже №,631,1582007 1517 146
324,162820, PL Гематоген детский с курагой г,433,2555464 1740 101
325,47252, PL Маска медицинская № инд.упак.,711,1854025 1478 165
326,61540, Афобазол таб.мг №,631,1816011 1470 146
327,150856, Атенолол Никомед табл. п.п.о.  мг. №,738,1308372 1503 170
328,26414, PL Рыбий жир капс. №,439,2740817 1453 101
329,59576," Пластырь ""Cosmos"" Strips из текстильн. ткани хсм хшт арт./",670,1514685 1496 154
330,137539, Панангин таб.п.п.о.№,738,1308372 1503 170
331,32450, Папаверина гидрохлорид тб мг N,397,1749481 1488 90
332,94887, Вестибо таб.  мг. №,638,1464792 1524 146
333,105569," Перчатки ""Peha-soft"" латексные н/стерил. без пудры разм. S №",675,1414354 1469 155
334,68690, Нью Лайф Бинт марл мед стер м х см уп N/СТМ,671,1414354 1469 154
335,192120," Оквис Протектор тканей глаза ,% фл.г №",575,1636816 1522 129
336,104501, Диабетон МВ тб мг N,462,1255590 1454 108
337,126033," Цефотаксим пор.д/р-ра в/в, в/м фл. г",-1,1888623 1515 -1
338,56215," Фосфоглив лиоф д/р-р в/в ,г фл./поддон с растворителем №",596,2364629 1467 135
339,55044, Декарис табл.  мг. №,659,1562555 1506 151
340,155320, Система для переливания инфузионных растворов уп N,761,2737171 1467 176
341,123979, Нормофлорин-B фл мл,600,2463627 1747 135
342,153978, Глицин таб.подъяз.мг №,638,1385673 1488 146
343,47227, Катетер Игла-Бабочка д/вливания в малые вены G,760,1476456 1479 176
344,110399, Ацетилсалициловая кислота тб мг N Renewal,696,1359555 1505 162
345,161495," Снуп спрей наз. ,% фл.мл",701,1888623 1515 162
346,147464, Янтарная кислота таб.мг №/СТМ,441,1782761 2103 101
347,82972, Нью Лайф Салфетка марл мед стер двухслойн см х см №/СТМ,671,1512056 1495 154
348,57024, Пустырник настойка фл.мл,613,2738783 1486 140
349,97436, Бактериофаг стафилококковый жидкий мл фл N,582,1420680 1503 130
350,42878, Бифиформ капс уп N,600,2739484 1453 135
351,118942, Смекта Ваниль пор.  гр. N,599,1459573 1519 135
352,51475, Нормофлорин-L фл мл,600,2463627 1747 135
353,97414, Берлитион  р-р д/ин.  мг/ мл. амп.  мл. №,596,2738779 1522 135
354,39014, Шприцы одноразовые с иглой мл N,762,1714680 1494 176
355,124722, Валосердин капли оралн фл-капел мл N,738,1459573 1519 170
356,48367, Уголь активированный тб мг N,599,1579682 1501 135
357,55799, Повязка Branolind N стерильная мазевая см х см N арт. ,674,1298113 1488 154
358,78795, Система для переливания инфузионных растворов уп N,761,1638985 1476 176
359,214838, Пакет-сумка бум. ххсм,906,1557028 1488 205
360,156491, Омепразол-Акрихин капс.кишечнораст.мг №,595,2634318 1469 135
361,142296,nan,397,1366630 1453 90
362,49944, Траумель С р-р д/и амп .мл №,456,1332419 1455 107
363,32523, Андипал таб.№,397,2487386 1469 90
364,39899, Дискус композитум амп N,456,1332419 1455 107
365,26189, Дицетел тб п/о мг  N,399,1764256 1485 90
366,102788, Цитрамон П таб.№,397,1307760 1499 90
367,75809, пак N,598,2736836 1526 135
368,134016, Метрогил р-р для в/в введ.мг/мл фл.мл,451,1490116 1469 105
369,43759, Гидроперит тб .г N,404,2739366 1495 93
370,19562," Бинт эласт ""Peha-haft"" когезивный см х м арт./",671,1490116 1469 154
371,59695, PL Гематоген с кедровым орехом г,433,1610226 1478 101
372,67198, Атенолол Белупо табл. п.п.о. мг N,738,1255476 1470 170
373,157733, Линкомицина гидрохлорид капс.мг №,403,1392999 1463 92
374,80402, Пикамилон таб.мг №,638,1267018 1470 146
375,100651, Мастер Юни Лейкопластырь бактерицидный хсм №,670,1279789 1499 154
376,93709, №,763,485181 321 176
377,22778, Меновазин жидк фл мл N,399,281368 349 90
378,54578, Лоперамид-Акрихин капс.мг №,595,681550 346 135
379,104368, Салфетка спиртовая для инъекций  х см,404,635970 270 93
380,128128,nan,671,387048 331 154
381,112864," Цефтриаксон пор.д/р-ра в/в, в/м фл./пачка г",403,25126 997 92
382,132650, Дилтиазем Ланнахер тб п/о ретард мг бл N,738,285121 57 170
383,114646," Риностоп капли наз. ,% фл. мл",701,939919 834 162
384,127362, Сотагексал тб мг бл N,738,112170 346 170
385,164646," Шприц одноразовый мл -компонентный с иглой ,хмм №",762,325544 315 176
386,128672, Боярышник [настойка фл мл] N,613,2700655 351 140
387,122243, Валериана [настойка фл мл] N,613,2700655 351 140
388,94234," Пластырь ""Cosmos"" Strips из текстильн. ткани хсм №",670,666375 350 154
389,31054, Дицинон р-р для в/в и в/м введ.мг/мл амп. мл №,420,2737515 242 99
